rank	TF	cluster1_mean_zscore	cluster2_mean_zscore	t_statistic	pval	FDR	logp
131	ENSG00000068305_LINE2776_MEF2A_D_N1	-1.14625340789474	-0.364420080645161	-5.02032327281458	1.63402807326489e-06	9.79131981333217e-06	5.7867404863842
132	ENSG00000214575_LINE3701_CPEB1_D	-0.545772815789474	0.333933080645161	-4.99699343780952	1.95787111595424e-06	1.16429541269783e-05	5.70821590061877
133	ENSG00000128604_LINE2742_IRF5_D_N1	-1.45607676315789	-0.602332730967742	-4.92349635503442	2.60678759718056e-06	1.53853373453208e-05	5.58389435399869
134	ENSG00000175197_LINE504_DDIT3_D	-0.588431671052632	0.221012951612903	-4.89519820005563	2.74235616205217e-06	1.60646799495952e-05	5.56187614211797
135	ENSG00000179348_LINE2120_GATA2_D_N9	12.3738171052632	8.94005483870968	4.89284392626232	2.80845881587292e-06	1.63300422853e-05	5.55153194037259
136	ENSG00000163497_LINE1922_FEV_D_N1	-1.65428482894737	-3.17815693548387	4.96392387292342	2.88839412407687e-06	1.66713420696401e-05	5.53934354717118
137	ENSG00000176678_LINE2031_FOXL1_D_N1	0.0424694473684211	0.937866209677419	-4.88990157870159	3.34863908055028e-06	1.91867224148744e-05	5.47513165860292
138	ENSG00000205922_LINE1713_ONECUT3_D	-0.432499255263158	0.338880725806452	-4.81281259298068	3.9912850455471e-06	2.25784137721947e-05	5.39888725510558
139	ENSG00000162676_LINE1033_GFI1_D_N2	-1.655081	-0.658074096774194	-4.81382209362464	3.99811433647137e-06	2.25784137721947e-05	5.39814479026078
140	ENSG00000197757_LINE2553_HOXC6_D	-0.701256342105263	0.00345867741935484	-4.80209894707563	4.23281277642355e-06	2.3564756959908e-05	5.37337094058915
141	ENSG00000197576_LINE16154_HOXA4_I_N1	-0.701256342105263	0.00345867741935484	-4.80209894707563	4.23281277642355e-06	2.3564756959908e-05	5.37337094058915
142	ENSG00000179059_LINE3477_ZFP42_I_N14	0.0559362105263158	1.05515268548387	-4.86347865489678	4.4105945977869e-06	2.43815782710164e-05	5.35550285880181
